"","Date","BTC_price","Gold_price","Bond_yield","KOSPI","USD_exchange_rate","BTC_circulation","VIX","NASDAQ","VKOSPI","S&P500","Nvidia","AMD","MA","PYPL","SQ","vidente","consumer_index"
"1",2021-03-31,65739784.55,1715.6,1.744,3061.42,1127.17,18670146.04,19.4,13246.87012,20.44,3972.89,533.93,78.5,356.049988,242.839996,227.050003,13700,107.16
"2",2021-03-30,65738512.94,1686,1.71,3070,1132.59,18669164.79,19.61,13045.38965,20.64,3958.55,514.87,76,358.200012,236.539993,212.830002,13900,107.16
"3",2021-03-29,64435860.7,1714.6,1.717,3036.04,1131.56,18668252.29,20.74,13059.65039,21.01,3971.09,517.93,77.14,362.910004,235.669998,207.179993,13050,107.16
"4",2021-03-28,62428086.29,1721.3,1.672,3037.69666666667,1130.54666666667,18667308.54,20.1133333333333,13086.0104166667,20.7933333333333,3972.24,516.476666666667,77.23,363.986674333333,237.456665,209.319997333333,13300,107.16
"5",2021-03-27,62453486.84,1728,1.673,3039.35333333333,1129.53333333333,18666314.79,19.4866666666667,13112.3704433333,20.5766666666667,3973.39,515.023333333333,77.32,365.063344666667,239.243332,211.460001666667,13300,107.16
"6",2021-03-26,61520484.34,1734.7,1.674,3041.01,1128.52,18665321.04,18.86,13138.73047,20.36,3974.54,513.57,77.41,366.140015,241.029999,213.600006,13300,107.16
"7",2021-03-25,57689881.3,1727.3,1.633,3008.33,1135.12,18664471.04,19.81,12977.67969,21.69,3909.52,501.41,76.22,358.359985,234.240005,208.470001,13050,107.16
"8",2021-03-24,58883867.26,1735.5,1.614,2996.35,1134.9,18663508.54,21.2,12961.88965,22.71,3889.14,505.72,76.48,359.649994,234.270004,213.509995,13000,107.16
"9",2021-03-23,61075996.94,1727.5,1.622,3004.74,1132.9,18662558.54,20.3,13227.7002,23.19,3910.52,522.83,78.38,355.269989,243.770004,223.199997,13150,107.16
"10",2021-03-22,60841909.44,1740.4,1.695,3035.46,1126,18661552.29,18.88,13377.54004,23.7,3940.59,527.45,80.3,358.399994,244.384995,226.130005,14000,107.16
