"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 26일","85.41","83.50","85.86","82.71","57.59M","3.20%"
"2021년 04월 23일","82.76","80.21","83.30","79.96","49.27M","4.68%"
"2021년 04월 22일","79.06","81.64","81.78","78.59","38.85M","-3.12%"
"2021년 04월 21일","81.61","78.97","81.64","78.96","35.07M","2.95%"
"2021년 04월 20일","79.27","80.81","81.10","78.52","34.98M","-2.27%"
"2021년 04월 19일","81.11","82.07","83.17","80.41","39.12M","-1.27%"
"2021년 04월 16일","82.15","83.30","83.59","81.53","47.28M","-1.04%"
"2021년 04월 15일","83.01","80.15","83.94","80.06","68.94M","5.68%"
"2021년 04월 14일","78.55","79.98","80.08","77.95","34.26M","-2.05%"
"2021년 04월 13일","80.19","79.59","80.71","79.01","37.77M","2.05%"
"2021년 04월 12일","78.58","82.03","82.13","78.04","62.10M","-5.05%"
"2021년 04월 09일","82.76","82.80","83.59","82.16","32.76M","-0.71%"
"2021년 04월 08일","83.35","83.34","83.78","82.44","41.93M","1.40%"
"2021년 04월 07일","82.20","81.35","83.09","80.37","35.59M","0.93%"
"2021년 04월 06일","81.44","81.21","82.45","80.90","29.33M","0.01%"
"2021년 04월 05일","81.43","81.79","81.88","80.40","32.61M","0.42%"
"2021년 04월 01일","81.09","80.15","81.31","79.48","40.18M","3.30%"
"2021년 03월 31일","78.50","76.61","79.13","76.54","43.66M","3.29%"
"2021년 03월 30일","76.00","76.43","76.52","74.91","39.17M","-1.48%"
"2021년 03월 29일","77.14","76.93","78.00","76.30","37.14M","-0.35%"
"2021년 03월 26일","77.41","76.62","77.50","75.03","49.15M","1.56%"
"2021년 03월 25일","76.22","75.90","76.94","74.97","44.74M","-0.34%"
"2021년 03월 24일","76.48","77.58","78.78","76.44","43.75M","-2.42%"
"2021년 03월 23일","78.38","80.20","80.29","77.95","40.47M","-2.39%"
"2021년 03월 22일","80.30","80.04","81.26","79.24","39.65M","1.57%"
"2021년 03월 19일","79.06","78.49","79.34","77.59","42.28M","1.20%"
"2021년 03월 18일","78.12","81.05","81.42","78.02","51.04M","-5.46%"
"2021년 03월 17일","82.63","81.59","83.25","80.44","43.32M","-0.15%"
"2021년 03월 16일","82.75","83.61","84.74","82.26","42.97M","0.30%"
"2021년 03월 15일","82.50","81.90","83.38","81.21","39.37M","1.79%"
"2021년 03월 12일","81.05","79.67","81.18","79.24","32.94M","-0.22%"
"2021년 03월 11일","81.23","79.44","81.89","79.44","43.58M","4.79%"
"2021년 03월 10일","77.52","79.80","80.01","77.42","45.42M","-1.29%"
"2021년 03월 09일","78.53","76.79","79.20","75.80","45.09M","6.18%"
"2021년 03월 08일","73.96","78.05","78.95","73.89","54.56M","-5.81%"
"2021년 03월 05일","78.52","79.00","79.48","74.20","58.55M","0.99%"
"2021년 03월 04일","77.75","80.16","81.75","76.83","60.55M","-3.85%"
"2021년 03월 03일","80.86","84.06","84.33","80.86","43.54M","-3.89%"
"2021년 03월 02일","84.13","86.80","86.91","84.09","34.83M","-2.62%"
"2021년 03월 01일","86.39","85.42","86.49","83.98","32.75M","2.22%"
"2021년 02월 26일","84.51","83.57","85.59","82.91","48.96M","2.54%"
"2021년 02월 25일","82.42","86.39","87.05","81.94","54.63M","-5.20%"
"2021년 02월 24일","86.94","84.33","87.09","82.81","40.82M","2.60%"
"2021년 02월 23일","84.74","83.31","85.10","79.43","49.72M","-0.74%"
"2021년 02월 22일","85.37","88.19","88.28","85.22","36.93M","-4.70%"
"2021년 02월 19일","89.58","89.75","90.42","88.69","29.55M","1.06%"
"2021년 02월 18일","88.64","89.01","89.52","87.33","35.62M","-1.45%"
"2021년 02월 17일","89.94","90.82","90.92","88.58","32.28M","-1.66%"
"2021년 02월 16일","91.46","93.90","93.90","90.76","35.11M","-2.46%"
"2021년 02월 12일","93.77","92.75","94.22","91.90","38.54M","1.20%"
"2021년 02월 11일","92.66","92.94","93.63","91.37","35.57M","0.34%"
"2021년 02월 10일","92.35","91.63","93.25","90.52","42.44M","1.58%"
"2021년 02월 09일","90.91","91.51","92.34","90.58","37.60M","-0.61%"
"2021년 02월 08일","91.47","88.31","91.96","88.04","47.64M","4.06%"
"2021년 02월 05일","87.90","88.15","88.36","86.88","30.27M","0.07%"
