Date,Price,Open,High,Low,Vol.,Change %
2021-03-31,"3,705","3,855","3,865","3,595",2.91K,-4.88%
2021-03-30,"3,895","3,195","4,040","3,145",55.90M,23.45%
2021-03-29,"3,155","3,120","3,170","3,050",3.00K,1.28%
2021-03-28,"3,115","3,115","3,115","3,115",-,0.00%
2021-03-26,"3,115","3,040","3,150","3,035",1.61M,1.96%
2021-03-25,"3,055","3,230","3,280","3,020",3.43K,-3.63%
2021-03-24,"3,170","3,145","3,220","3,120",0.80K,0.63%
2021-03-23,"3,150","3,270","3,275","3,120",1.06K,-5.12%
2021-03-22,"3,320","3,410","3,510","3,295",0.88K,-0.15%
2021-03-21,"3,325","3,325","3,325","3,325",-,0.00%
2021-03-19,"3,325","3,180","3,580","3,160",19.02M,2.62%
2021-03-18,"3,240","3,170","3,375","3,165",4.05K,0.78%
2021-03-17,"3,215","3,195","3,285","3,115",29.11K,0.94%
2021-03-16,"3,185","2,855","3,495","2,805",1.86K,12.94%
2021-03-15,"2,820","2,720","2,935","2,675",12.70M,5.62%
2021-03-14,"2,670","2,670","2,670","2,670",-,0.00%
2021-03-12,"2,670","2,645","2,690","2,590",2.16M,2.69%
2021-03-11,"2,600","2,550","2,600","2,520",1.88M,3.59%
2021-03-10,"2,510","2,585","2,720","2,470",1.33K,-0.20%
2021-03-09,"2,515","2,435","2,560","2,365",3.20M,4.14%
2021-03-08,"2,415","2,365","2,495","2,365",1.01M,2.55%
2021-03-05,"2,355","2,370","2,370","2,315",420.05K,-1.67%
2021-03-04,"2,395","2,385","2,430","2,365",0.00K,0.21%
2021-03-03,"2,390","2,340","2,410","2,325",2.70K,1.49%
2021-03-02,"2,355","2,335","2,375","2,310",0.35K,1.29%
2021-02-26,"2,325","2,295","2,360","2,250",971.73K,-1.90%
2021-02-25,"2,370","2,390","2,420","2,360",0.00K,0.42%
2021-02-24,"2,360","2,455","2,530","2,360",1.14K,-5.22%
2021-02-23,"2,490","2,580","2,600","2,480",0.09K,-6.04%
2021-02-22,"2,650","2,555","2,755","2,505",4.62K,5.79%
2021-02-19,"2,505","2,555","2,555","2,430",1.37M,-2.53%
2021-02-18,"2,570","2,535","2,865","2,525",4.44K,2.80%
2021-02-17,"2,500","2,510","2,525","2,445",1.21M,0.40%
2021-02-16,"2,490","2,460","2,565","2,400",3.14M,2.47%
2021-02-15,"2,430","2,440","2,475","2,400",732.48K,2.10%
2021-02-10,"2,380","2,445","2,470","2,360",808.46K,-1.65%
2021-02-09,"2,420","2,590","2,615","2,400",3.68K,2.98%
2021-02-08,"2,350","2,345","2,375","2,275",1.25M,1.51%
2021-02-07,"2,315","2,315","2,315","2,315",-,0.00%
2021-02-05,"2,315","2,230","2,330","2,205",1.01M,4.28%
2021-02-04,"2,220","2,230","2,230","2,185",1.22K,0.23%
2021-02-03,"2,215","2,215","2,250","2,200",328.51K,0.23%
2021-02-02,"2,210","2,165","2,230","2,140",0.28K,2.79%
2021-02-01,"2,150","2,095","2,155","2,080",476.86K,1.42%
2021-01-31,"2,120","2,120","2,120","2,120",-,0.00%
2021-01-29,"2,120","2,285","2,285","2,110",592.55K,-5.57%
2021-01-28,"2,245","2,270","2,295","2,240",417.38K,-3.44%
2021-01-27,"2,325","2,345","2,395","2,280",1.42M,3.33%
2021-01-26,"2,250","2,220","2,270","2,205",542.77K,1.12%
2021-01-25,"2,225","2,230","2,250","2,215",452.00K,-0.22%
2021-01-22,"2,230","2,280","2,290","2,220",801.64K,-3.25%
2021-01-21,"2,305","2,260","2,335","2,255",0.57K,1.77%
2021-01-20,"2,265","2,270","2,285","2,240",329.96K,0.67%
2021-01-19,"2,250","2,205","2,270","2,185",591.48K,0.45%
2021-01-18,"2,240","2,285","2,330","2,240",3.01K,-3.86%
2021-01-15,"2,330","2,370","2,385","2,320",483.71K,-1.69%
2021-01-14,"2,370","2,325","2,390","2,325",3.34K,2.16%
2021-01-13,"2,320","2,290","2,345","2,290",0.00K,0.65%
2021-01-12,"2,305","2,400","2,400","2,260",4.56K,-3.96%
2021-01-11,"2,400","2,645","2,645","2,350",2.17K,-8.22%
2021-01-10,"2,615","2,615","2,615","2,615",-,0.00%
2021-01-08,"2,615","2,770","2,910","2,540",9.96M,-1.51%
2021-01-07,"2,655","2,710","2,720","2,635",1.15M,-0.38%
2021-01-06,"2,665","2,625","2,685","2,570",1.41M,3.29%
2021-01-05,"2,580","2,625","2,650","2,560",767.02K,-3.01%
2021-01-04,"2,660","2,705","2,755","2,620",1.47M,2.50%
2020-12-30,"2,595","2,560","2,640","2,540",1.04M,1.17%
2020-12-29,"2,565","2,435","2,740","2,435",5.42M,4.91%
2020-12-28,"2,445","2,600","2,600","2,425",0.01K,-1.21%
2020-12-24,"2,475","2,515","2,535","2,470",919.70K,-3.32%
2020-12-23,"2,560","2,635","2,750","2,535",0.83K,-1.35%
2020-12-22,"2,595","2,715","2,715","2,580",0.01K,-4.95%
2020-12-21,"2,730","2,790","2,810","2,730",1.62K,-0.55%
2020-12-18,"2,745","2,830","2,885","2,725",2.12M,-1.26%
2020-12-17,"2,780","2,920","2,960","2,770",8.92M,2.96%
2020-12-16,"2,700","2,725","2,745","2,670",699.16K,-0.74%
2020-12-15,"2,720","2,680","2,830","2,675",0.29K,2.45%
2020-12-14,"2,655","2,680","2,695","2,645",635.77K,0.00%
2020-12-13,"2,655","2,655","2,655","2,655",-,0.00%
2020-12-11,"2,655","2,630","2,670","2,625",715.36K,0.19%
2020-12-10,"2,650","2,660","2,700","2,610",4.03K,0.76%
2020-12-09,"2,630","2,605","2,650","2,580",1.64K,-1.87%
2020-12-08,"2,680","2,710","2,735","2,655",0.01K,-0.37%
2020-12-07,"2,690","2,840","2,845","2,680",0.48K,-4.44%
2020-12-06,"2,815","2,815","2,815","2,815",-,0.00%
2020-12-04,"2,815","2,825","2,855","2,780",980.76K,0.72%
2020-12-03,"2,795","2,850","2,880","2,795",0.21K,-1.93%
2020-12-02,"2,850","2,900","2,925","2,820",1.84M,-1.89%
2020-12-01,"2,905","3,055","3,135","2,900",5.33K,0.69%
2020-11-30,"2,885","2,830","2,920","2,830",3.58M,2.67%
2020-11-29,"2,810","2,810","2,810","2,810",-,0.00%
2020-11-27,"2,810","2,755","2,860","2,745",2.75M,-2.43%
2020-11-26,"2,880","2,950","3,060","2,850",0.22K,-4.64%
