날짜,시가*,고가,저가,종가**,거래량,시가총액
13-Apr-21,"\66,823,402.38","\71,121,639.39","\66,801,018.39","\70,855,165.49","\78,085,342,155,950","\1,323,707,769,971,440"
12-Apr-21,"\67,142,430.72","\68,344,216.35","\66,488,511.09","\66,827,234.04","\57,828,824,161,965","\1,248,401,229,798,870"
11-Apr-21,"\66,774,546.22","\67,828,193.89","\66,153,693.33","\67,174,810.50","\51,638,053,462,196","\1,254,833,386,737,800"
10-Apr-21,"\64,997,736.04","\68,370,580.23","\64,757,767.09","\66,715,415.64","\64,980,657,772,215","\1,246,190,591,805,420"
09-Apr-21,"\65,078,949.28","\65,760,106.94","\64,500,200.35","\64,987,946.50","\52,056,417,561,398","\1,213,857,017,542,780"
08-Apr-21,"\62,594,522.52","\65,092,533.33","\62,348,128.55","\65,076,037.08","\59,195,827,188,349","\1,215,445,057,843,820"
07-Apr-21,"\64,922,680.21","\65,530,366.15","\62,041,224.56","\62,537,645.88","\84,402,655,837,430","\1,167,978,840,029,890"
06-Apr-21,"\66,022,184.82","\66,365,447.16","\64,320,500.29","\64,929,207.63","\73,705,474,595,629","\1,212,582,949,726,040"
05-Apr-21,"\65,563,538.35","\66,824,829.58","\64,374,076.30","\65,894,928.00","\67,734,153,341,065","\1,230,559,774,972,980"
04-Apr-21,"\64,273,671.17","\65,734,110.95","\63,787,014.37","\65,560,953.15","\56,624,881,315,504","\1,224,257,769,057,580"
03-Apr-21,"\66,273,764.35","\67,069,151.17","\64,272,611.81","\64,272,611.81","\66,545,940,509,958","\1,200,139,985,000,640"
02-Apr-21,"\65,940,674.63","\67,244,236.67","\65,684,495.15","\66,259,153.25","\65,526,703,882,018","\1,237,179,711,627,610"
01-Apr-21,"\65,748,411.04","\66,484,269.49","\65,278,354.36","\65,937,248.00","\68,808,517,657,651","\1,231,114,357,353,450"
31-Mar-21,"\65,752,554.60","\66,868,043.58","\64,409,326.50","\65,739,784.55","\73,106,081,727,510","\1,227,364,209,939,300"
30-Mar-21,"\64,435,785.91","\66,329,347.00","\63,879,483.50","\65,738,512.94","\60,713,563,490,870","\1,227,278,411,842,350"
29-Mar-21,"\62,424,909.91","\65,096,280.28","\61,522,747.15","\64,435,860.70","\64,296,821,598,413","\1,202,897,088,638,300"
28-Mar-21,"\62,455,082.77","\63,164,009.55","\61,446,618.52","\62,428,086.29","\53,207,190,487,857","\1,165,360,693,772,800"
