날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 16일,17.61,17.85,18.37,17.6,-,0.06%
2021년 04월 15일,17.6,16.56,17.61,16.49,-,6.73%
2021년 04월 14일,16.49,16.73,16.9,16.3,-,-3.62%
2021년 04월 13일,17.11,16.5,17.11,16.27,-,3.45%
2021년 04월 12일,16.54,17.38,17.39,16.54,-,-0.90%
2021년 04월 09일,16.69,16.3,17.37,16.3,-,3.09%
2021년 04월 08일,16.19,17.17,17.2,16.08,-,-7.22%
2021년 04월 07일,17.45,17.87,18.04,17.45,-,-4.85%
2021년 04월 06일,18.34,18.87,18.87,18.27,-,-3.32%
2021년 04월 05일,18.97,19.64,19.7,18.83,-,-2.77%
2021년 04월 02일,19.51,20.13,20.19,19.51,-,-1.86%
2021년 04월 01일,19.88,20.19,20.49,19.88,-,-2.74%
2021년 03월 31일,20.44,20.48,20.65,20.2,-,-0.97%
2021년 03월 30일,20.64,20.92,21,20.5,-,-1.76%
2021년 03월 29일,21.01,21.31,21.36,20.41,-,3.19%
2021년 03월 26일,20.36,21.29,21.31,20.36,-,-6.13%
2021년 03월 25일,21.69,22.92,22.94,21.58,-,-4.49%
2021년 03월 24일,22.71,23.76,23.8,22.71,-,-2.07%
2021년 03월 23일,23.19,22.92,23.42,22.77,-,-2.15%
2021년 03월 22일,23.7,24.16,24.47,23.68,-,0.38%
2021년 03월 19일,23.61,23.85,24.18,23.31,-,4.05%
2021년 03월 18일,22.69,23.71,23.71,22.69,-,-7.50%
2021년 03월 17일,24.53,24.42,25.56,24.41,-,1.03%
2021년 03월 16일,24.28,25.36,25.48,24.27,-,-6.25%
2021년 03월 15일,25.9,26.34,26.34,25.61,-,1.01%
2021년 03월 12일,25.64,26.22,26.32,25.48,-,-3.06%
2021년 03월 11일,26.45,27.61,27.78,26.45,-,-8.32%
2021년 03월 10일,28.85,28.48,29.66,28.35,-,-3.12%
2021년 03월 09일,29.78,29.41,32.36,29.33,-,1.02%
2021년 03월 08일,29.48,29.52,29.65,27.73,-,1.34%
2021년 03월 05일,29.09,30.91,31.43,29.05,-,-1.39%
2021년 03월 04일,29.5,29.26,30.66,29.05,-,4.20%
2021년 03월 03일,28.31,31.41,31.42,28.27,-,-8.59%
2021년 03월 02일,30.97,30.35,31.91,29.71,-,-1.18%
2021년 02월 26일,31.34,30.3,32.99,30.3,-,12.25%
2021년 02월 25일,27.92,27.82,28.14,27.25,-,-3.49%
2021년 02월 24일,28.93,27.67,29.23,26.94,-,6.52%
2021년 02월 23일,27.16,28.07,29.22,26.98,-,-1.74%
2021년 02월 22일,27.64,27.36,28.01,26.76,-,2.90%
2021년 02월 19일,26.86,26.46,29.15,26.29,-,2.91%
2021년 02월 18일,26.1,25.85,26.41,25.21,-,2.03%
2021년 02월 17일,25.58,25.62,26.72,25.52,-,1.99%
2021년 02월 16일,25.08,26.35,26.47,25.08,-,-4.35%
2021년 02월 15일,26.22,27.26,27.29,26.01,-,-0.79%
2021년 02월 10일,26.43,25.16,27.04,24.51,-,4.84%
2021년 02월 09일,25.21,26.88,26.88,24.75,-,-7.76%
2021년 02월 08일,27.33,29.73,29.73,27.02,-,-4.61%
2021년 02월 05일,28.65,31.38,31.96,28.55,-,-10.64%
2021년 02월 04일,32.06,31.83,33.25,31.77,-,2.46%
2021년 02월 03일,31.29,33.15,33.16,31.24,-,-6.32%
2021년 02월 02일,33.4,33.4,34.96,33.32,-,-2.22%
2021년 02월 01일,34.16,37.44,37.5,34.13,-,-4.39%
2021년 01월 29일,35.73,32.59,37.04,32.19,-,7.98%
2021년 01월 28일,33.09,31.72,33.86,31.69,-,12.51%
2021년 01월 27일,29.41,29.7,30.42,29.39,-,-1.93%
2021년 01월 26일,29.99,29.22,30.81,28.96,-,3.52%
2021년 01월 25일,28.97,29.46,29.52,28.79,-,-1.33%
2021년 01월 22일,29.36,30.32,30.32,28.63,-,-4.15%
