"날짜","종가","오픈","고가","저가","변동 %"
"2021년 04월 15일","1.633","1.641","1.645","1.631","-0.10%"
"2021년 04월 14일","1.634","1.615","1.650","1.611","0.88%"
"2021년 04월 13일","1.620","1.676","1.703","1.616","-2.97%"
"2021년 04월 12일","1.669","1.674","1.685","1.644","-0.31%"
"2021년 04월 11일","1.674","1.674","1.674","1.674","0.75%"
"2021년 04월 09일","1.662","1.633","1.687","1.621","2.20%"
"2021년 04월 08일","1.626","1.669","1.674","1.617","-3.16%"
"2021년 04월 07일","1.679","1.663","1.679","1.628","1.29%"
"2021년 04월 06일","1.658","1.700","1.716","1.653","-2.91%"
"2021년 04월 05일","1.707","1.705","1.745","1.700","0.12%"
"2021년 04월 04일","1.705","1.700","1.705","1.700","-0.52%"
"2021년 04월 02일","1.714","1.670","1.727","1.670","2.44%"
"2021년 04월 01일","1.673","1.737","1.753","1.672","-4.04%"
"2021년 03월 31일","1.744","1.717","1.753","1.708","1.99%"
"2021년 03월 30일","1.710","1.713","1.776","1.706","-0.41%"
"2021년 03월 29일","1.717","1.672","1.728","1.635","2.67%"
"2021년 03월 28일","1.672","1.671","1.672","1.671","-0.11%"
"2021년 03월 26일","1.674","1.626","1.681","1.619","2.51%"
"2021년 03월 25일","1.633","1.612","1.642","1.591","1.21%"
"2021년 03월 24일","1.614","1.615","1.651","1.589","-0.53%"
"2021년 03월 23일","1.622","1.682","1.702","1.615","-4.27%"
"2021년 03월 22일","1.695","1.707","1.709","1.663","-0.71%"
"2021년 03월 21일","1.707","1.710","1.710","1.707","-1.34%"
"2021년 03월 19일","1.730","1.710","1.750","1.671","1.38%"
"2021년 03월 18일","1.706","1.660","1.754","1.629","3.66%"
"2021년 03월 17일","1.646","1.621","1.689","1.616","1.53%"
"2021년 03월 16일","1.621","1.602","1.628","1.585","0.88%"
"2021년 03월 15일","1.607","1.637","1.639","1.595","-1.81%"
"2021년 03월 14일","1.637","1.639","1.639","1.637","0.76%"
"2021년 03월 12일","1.625","1.541","1.642","1.532","5.83%"
"2021년 03월 11일","1.535","1.521","1.547","1.475","0.92%"
"2021년 03월 10일","1.521","1.525","1.566","1.506","-0.45%"
"2021년 03월 09일","1.528","1.589","1.594","1.523","-4.67%"
"2021년 03월 08일","1.603","1.597","1.613","1.575","0.23%"
"2021년 03월 07일","1.599","1.597","1.599","1.597","1.44%"
"2021년 03월 05일","1.577","1.566","1.625","1.535","1.25%"
"2021년 03월 04일","1.557","1.486","1.569","1.450","4.91%"
"2021년 03월 03일","1.484","1.402","1.498","1.398","6.15%"
"2021년 03월 02일","1.398","1.424","1.453","1.390","-1.92%"
"2021년 03월 01일","1.426","1.395","1.460","1.383","2.21%"
"2021년 02월 28일","1.395","1.415","1.415","1.395","-0.85%"
"2021년 02월 26일","1.407","1.529","1.558","1.381","-8.08%"
"2021년 02월 25일","1.530","1.379","1.614","1.374","11.52%"
"2021년 02월 24일","1.372","1.343","1.435","1.330","2.16%"
"2021년 02월 23일","1.343","1.369","1.389","1.342","-1.86%"
"2021년 02월 22일","1.369","1.363","1.394","1.326","0.51%"
"2021년 02월 21일","1.362","1.367","1.367","1.362","1.65%"
"2021년 02월 19일","1.340","1.292","1.363","1.282","3.27%"
"2021년 02월 18일","1.297","1.274","1.318","1.258","1.19%"
"2021년 02월 17일","1.282","1.329","1.333","1.269","-2.18%"
"2021년 02월 16일","1.311","1.250","1.317","1.223","4.85%"
"2021년 02월 15일","1.250","1.250","1.250","1.250","3.32%"
"2021년 02월 12일","1.210","1.163","1.213","1.150","3.87%"
"2021년 02월 11일","1.165","1.147","1.166","1.132","3.61%"
"2021년 02월 10일","1.124","1.164","1.176","1.122","-3.10%"
"2021년 02월 09일","1.160","1.164","1.172","1.140","-1.32%"
"2021년 02월 08일","1.176","1.172","1.200","1.150","0.15%"
"2021년 02월 07일","1.174","1.177","1.177","1.174","0.44%"
"2021년 02월 05일","1.169","1.138","1.188","1.129","2.90%"
"2021년 02월 04일","1.136","1.143","1.162","1.131","-0.29%"
"2021년 02월 03일","1.139","1.108","1.141","1.105","4.07%"
"2021년 02월 02일","1.095","1.083","1.118","1.074","1.44%"
"2021년 02월 01일","1.079","1.071","1.089","1.060","0.79%"
"2021년 01월 31일","1.071","1.069","1.072","1.069","0.00%"
"2021년 01월 29일","1.071","1.048","1.105","1.042","1.80%"
"2021년 01월 28일","1.052","1.023","1.072","0.996","3.85%"
"2021년 01월 27일","1.013","1.040","1.050","1.001","-1.97%"
"2021년 01월 26일","1.033","1.043","1.053","1.028","0.00%"
"2021년 01월 25일","1.033","1.096","1.103","1.030","-5.73%"
"2021년 01월 24일","1.096","1.097","1.097","1.096","0.94%"
"2021년 01월 22일","1.086","1.113","1.118","1.080","-2.14%"
"2021년 01월 21일","1.109","1.085","1.123","1.077","3.01%"
"2021년 01월 20일","1.077","1.100","1.107","1.075","-1.39%"
"2021년 01월 19일","1.092","1.102","1.121","1.087","-0.77%"
"2021년 01월 18일","1.100","1.099","1.100","1.099","1.25%"
"2021년 01월 15일","1.087","1.128","1.128","1.084","-3.75%"
"2021년 01월 14일","1.129","1.085","1.138","1.075","3.44%"
"2021년 01월 13일","1.092","1.117","1.134","1.071","-3.31%"
"2021년 01월 12일","1.129","1.146","1.187","1.129","-1.33%"
"2021년 01월 11일","1.144","1.107","1.148","1.097","2.29%"
"2021년 01월 10일","1.119","1.119","1.119","1.119","0.00%"
"2021년 01월 08일","1.119","1.079","1.125","1.075","3.47%"
"2021년 01월 07일","1.081","1.037","1.088","1.029","4.07%"
"2021년 01월 06일","1.039","0.950","1.054","0.945","8.80%"
"2021년 01월 05일","0.955","0.922","0.963","0.916","4.00%"
"2021년 01월 04일","0.918","0.930","0.953","0.906","-1.25%"
"2021년 01월 03일","0.930","0.932","0.932","0.930","1.45%"
"2020년 12월 31일","0.916","0.927","0.937","0.911","-1.07%"
"2020년 12월 30일","0.926","0.935","0.956","0.923","-1.42%"
"2020년 12월 29일","0.940","0.936","0.951","0.928","1.80%"
"2020년 12월 28일","0.923","0.940","0.963","0.923","-1.59%"
"2020년 12월 27일","0.938","0.936","0.938","0.936","1.25%"
"2020년 12월 24일","0.926","0.951","0.955","0.921","-1.93%"
"2020년 12월 23일","0.945","0.918","0.973","0.903","2.53%"
"2020년 12월 22일","0.921","0.935","0.940","0.915","-1.77%"
"2020년 12월 21일","0.938","0.938","0.948","0.882","0.00%"
"2020년 12월 20일","0.938","0.936","0.938","0.936","-0.71%"
"2020년 12월 18일","0.945","0.931","0.951","0.915","1.07%"
"2020년 12월 17일","0.935","0.920","0.945","0.891","1.63%"
"2020년 12월 16일","0.920","0.911","0.955","0.901","0.91%"
"2020년 12월 15일","0.911","0.898","0.925","0.885","1.47%"
"2020년 12월 14일","0.898","0.911","0.939","0.888","-1.28%"
"2020년 12월 13일","0.910","0.908","0.910","0.908","1.48%"
"2020년 12월 11일","0.896","0.910","0.915","0.873","-1.09%"
"2020년 12월 10일","0.906","0.926","0.941","0.905","-3.35%"
"2020년 12월 09일","0.938","0.931","0.959","0.924","1.79%"
"2020년 12월 08일","0.921","0.928","0.941","0.893","-0.71%"
"2020년 12월 07일","0.928","0.974","0.974","0.924","-4.60%"
"2020년 12월 04일","0.973","0.910","0.986","0.901","6.73%"
"2020년 12월 03일","0.911","0.936","0.946","0.901","-2.82%"
"2020년 12월 02일","0.938","0.923","0.966","0.911","0.89%"
"2020년 12월 01일","0.929","0.847","0.938","0.834","10.34%"
"2020년 11월 30일","0.842","0.845","0.860","0.831","-0.19%"
"2020년 11월 29일","0.844","0.845","0.845","0.844","0.19%"
"2020년 11월 27일","0.842","0.859","0.868","0.839","-1.91%"
"2020년 11월 26일","0.859","0.855","0.859","0.855","-2.61%"
