Date,Price,Open,High,Low,Vol.,Change %
2021-03-31,"9,650","10,150","10,150","9,300",153.60K,0.10%
2021-03-30,"9,640","7,640","9,640","7,490",112.05M,29.92%
2021-03-29,"7,420","7,610","8,030","7,400",0.43K,-0.93%
2021-03-28,"7,490","7,490","7,490","7,490",-,0.00%
2021-03-26,"7,490","6,920","7,650","6,850",40.19M,7.00%
2021-03-25,"7,000","7,170","7,260","6,830",12.29K,1.01%
2021-03-24,"6,930","6,990","7,200","6,810",22.07K,0.43%
2021-03-23,"6,900","7,060","7,240","6,860",16.00K,-5.99%
2021-03-22,"7,340","7,230","7,890","7,130",17.58K,0.55%
2021-03-21,"7,300","7,300","7,300","7,300",-,0.00%
2021-03-19,"7,300","7,020","7,380","6,830",48.85M,1.67%
2021-03-18,"7,180","6,170","7,380","5,980",51.80K,25.96%
2021-03-17,"5,700","5,880","6,060","5,560",121.90K,2.89%
2021-03-16,"5,540","5,130","6,250","4,995",0.36K,7.78%
2021-03-15,"5,140","5,340","5,550","5,110",38.23K,0.39%
2021-03-14,"5,120","5,120","5,120","5,120",-,0.00%
2021-03-12,"5,120","4,920","5,210","4,870",11.17M,7.23%
2021-03-11,"4,775","4,920","5,050","4,765",0.32K,0.00%
2021-03-10,"4,775","5,170","5,240","4,750",9.51M,-4.40%
2021-03-09,"4,995","4,925","5,330","4,760",0.05K,5.71%
2021-03-08,"4,725","4,720","4,885","4,720",2.90M,1.29%
2021-03-05,"4,665","4,695","4,705","4,585",1.56M,-2.81%
2021-03-04,"4,800","4,765","4,900","4,705",0.42K,3.23%
2021-03-03,"4,650","4,565","4,785","4,555",0.50K,2.20%
2021-03-02,"4,550","4,650","4,745","4,550",4.60K,1.11%
2021-03-01,"4,500","4,500","4,500","4,500",-,0.00%
2021-02-26,"4,500","4,510","4,665","4,410",3.66M,-5.46%
2021-02-25,"4,760","4,710","4,875","4,705",1.13K,2.26%
2021-02-24,"4,655","4,705","5,100","4,645",1.17K,-3.32%
2021-02-23,"4,815","5,240","5,410","4,815",1.79K,-15.23%
2021-02-22,"5,680","5,450","6,190","5,170",9.58K,10.29%
2021-02-21,"5,150","5,150","5,150","5,150",-,0.00%
2021-02-19,"5,150","5,280","5,370","5,030",9.44M,-2.46%
2021-02-18,"5,280","5,440","5,970","5,260",7.75K,2.13%
2021-02-17,"5,170","5,350","5,490","5,120",0.00K,-0.39%
2021-02-16,"5,190","4,865","5,600","4,865",0.30K,6.79%
2021-02-15,"4,860","5,050","5,080","4,840",0.00K,0.93%
2021-02-14,"4,815","4,815","4,815","4,815",-,0.00%
2021-02-10,"4,815","5,110","5,180","4,780",12.40M,-8.29%
2021-02-09,"5,250","5,670","5,670","5,140",157.24K,14.63%
2021-02-08,"4,580","4,285","4,610","4,220",8.22M,8.79%
2021-02-05,"4,210","4,175","4,270","4,140",1.75M,1.20%
2021-02-04,"4,160","4,175","4,250","4,110",5.20K,0.60%
2021-02-03,"4,135","4,115","4,160","4,055",1.80M,2.10%
2021-02-02,"4,050","4,025","4,110","4,000",1.51M,0.62%
2021-02-01,"4,025","3,765","4,025","3,720",21.41K,5.37%
2021-01-31,"3,820","3,820","3,820","3,820",-,0.00%
2021-01-29,"3,820","4,085","4,145","3,800",2.21M,-3.78%
2021-01-28,"3,970","3,990","4,055","3,915",1.96M,-3.29%
2021-01-27,"4,105","4,275","4,285","4,100",5.95K,-3.18%
2021-01-26,"4,240","4,250","4,415","4,230",0.05K,-0.70%
2021-01-25,"4,270","4,330","4,330","4,215",3.04K,-0.58%
2021-01-24,"4,295","4,295","4,295","4,295",-,0.00%
2021-01-22,"4,295","4,300","4,375","4,230",4.64M,-6.02%
2021-01-21,"4,570","4,460","4,695","4,395",1.32K,3.04%
2021-01-20,"4,435","4,430","4,510","4,410",2.58M,0.34%
2021-01-19,"4,420","4,425","4,525","4,360",1.50K,-0.23%
2021-01-18,"4,430","4,585","4,635","4,430",0.03K,-6.04%
2021-01-17,"4,715","4,715","4,715","4,715",-,0.00%
2021-01-15,"4,715","4,915","4,935","4,715",3.44M,-3.18%
2021-01-14,"4,870","4,995","5,060","4,870",0.44K,0.41%
2021-01-13,"4,850","4,820","4,910","4,750",0.70K,-1.22%
2021-01-12,"4,910","5,100","5,100","4,725",2.93K,-3.54%
2021-01-11,"5,090","5,840","5,850","5,030",25.61K,-12.09%
2021-01-10,"5,790","5,790","5,790","5,790",-,0.00%
2021-01-08,"5,790","5,590","6,520","5,510",127.35M,11.13%
2021-01-07,"5,210","5,400","5,530","5,200",19.24M,-0.57%
2021-01-06,"5,240","5,020","5,410","4,950",2.46K,7.16%
2021-01-05,"4,890","5,020","5,040","4,850",0.40K,-4.86%
2021-01-04,"5,140","5,350","5,450","5,060",4.05K,5.54%
2020-12-30,"4,870","4,770","5,150","4,735",15.20M,3.07%
2020-12-29,"4,725","4,715","4,810","4,640",0.60K,0.64%
2020-12-28,"4,695","5,240","5,260","4,670",8.24K,0.32%
2020-12-27,"4,680","4,680","4,680","4,680",-,0.00%
2020-12-24,"4,680","4,720","4,820","4,560",5.62M,-3.41%
2020-12-23,"4,845","5,140","5,400","4,755",11.99K,-1.42%
2020-12-22,"4,915","5,210","5,230","4,860",3.38K,-8.47%
2020-12-21,"5,370","5,440","5,620","5,330",9.49K,-0.19%
2020-12-20,"5,380","5,380","5,380","5,380",-,0.00%
2020-12-18,"5,380","5,710","5,880","5,290",23.27M,-3.06%
2020-12-17,"5,550","5,840","6,060","5,450",2.76K,10.34%
2020-12-16,"5,030","5,150","5,160","4,990",2.00K,-0.40%
2020-12-15,"5,050","4,920","5,410","4,885",0.99K,3.38%
2020-12-14,"4,885","4,975","4,985","4,860",0.00K,0.83%
2020-12-13,"4,845","4,845","4,845","4,845",-,0.00%
2020-12-11,"4,845","4,755","4,995","4,710",6.60M,1.89%
2020-12-10,"4,755","4,840","5,030","4,755",3.71K,-0.52%
2020-12-09,"4,780","4,785","4,845","4,675",8.17M,-4.59%
2020-12-08,"5,010","5,020","5,220","5,000",1.67K,-2.34%
2020-12-07,"5,130","5,340","5,340","5,060",7.30K,-3.93%
2020-12-06,"5,340","5,340","5,340","5,340",-,0.00%
2020-12-04,"5,340","5,350","5,430","5,240",5.35M,1.14%
2020-12-03,"5,280","5,550","5,550","5,280",0.10K,-4.86%
2020-12-02,"5,550","5,600","5,670","5,460",7.12M,-0.89%
2020-12-01,"5,600","6,050","6,180","5,530",140.38K,3.32%
2020-11-30,"5,420","5,480","5,600","5,420",9.41M,2.46%
2020-11-29,"5,290","5,290","5,290","5,290",-,0.00%
2020-11-27,"5,290","5,160","5,570","5,160",11.20M,-5.03%
2020-11-26,"5,570","5,600","5,960","5,490",6.80K,-3.30%
2020-11-25,"5,760","5,890","6,320","5,640",33.23K,3.78%
2020-11-24,"5,550","5,220","6,540","4,990",0.43K,6.94%
