"","Date","BTC_price","Gold_price","Bond_yield","KOSPI","USD_exchange_rate","BTC_circulation","VIX","NASDAQ","VKOSPI","S.P500","Nvidia","AMD","MA","PYPL","SQ","vidente","consumer_index","net_point_by_word","volume","Atinum","Woori"
"1",2021-03-31,65752554.6,1715.6,1.744,3061.42,1127.17,18670146.04,19.4,13246.87012,20.44,3972.89,533.93,78.5,356.049988,242.839996,227.050003,13700,107.16,0.071633285,73106081727510,3705,9650
"2",2021-03-30,64435785.91,1686,1.71,3070,1132.59,18669164.79,19.61,13045.38965,20.64,3958.55,514.87,76,358.200012,236.539993,212.830002,13900,107.16,0.052073645,60713563490870,3895,9640
"3",2021-03-29,62424909.91,1714.6,1.717,3036.04,1131.56,18668252.29,20.74,13059.65039,21.01,3971.09,517.93,77.14,362.910004,235.669998,207.179993,13050,107.16,0.051350659,64296821598413,3155,7420
"4",2021-03-28,62455082.77,1721.3,1.672,3037.696667,1130.546667,18667308.54,20.11333333,13086.01042,20.79333333,3972.24,516.4766667,77.23,363.9866743,237.456665,209.3199973,13300,107.16,0.043161925,53207190487857,3115,7490
"5",2021-03-27,61520767.2,1728,1.673,3039.353333,1129.533333,18666314.79,19.48666667,13112.37044,20.57666667,3973.39,515.0233333,77.32,365.0633447,239.243332,211.4600017,13300,107.16,0.043582957,52738524505213,3115,7490
"6",2021-03-26,57666280.74,1734.7,1.674,3041.01,1128.52,18665321.04,18.86,13138.73047,20.36,3974.54,513.57,77.41,366.140015,241.029999,213.600006,13300,107.16,0.037357659,63210744643846,3115,7490
"7",2021-03-25,58830848.03,1727.3,1.633,3008.33,1135.12,18664471.04,19.81,12977.67969,21.69,3909.52,501.41,76.22,358.359985,234.240005,208.470001,13050,107.16,0.050487186,75872057197664,3055,7000
"8",2021-03-24,61044246.8,1735.5,1.614,2996.35,1134.9,18663508.54,21.2,12961.88965,22.71,3889.14,505.72,76.48,359.649994,234.270004,213.509995,13000,107.16,0.08329568,78736693760143,3170,6930
"9",2021-03-23,60822401.81,1727.5,1.622,3004.74,1132.9,18662558.54,20.3,13227.7002,23.19,3910.52,522.83,78.38,355.269989,243.770004,223.199997,13150,107.16,-0.011138933,62968428638859,3150,6900
"10",2021-03-22,64176658.3,1740.4,1.695,3035.46,1126,18661552.29,18.88,13377.54004,23.7,3940.59,527.45,80.3,358.399994,244.384995,226.130005,14000,107.16,0.027227288,63064865703830,3320,7340
"11",2021-03-21,65060371.08,1741.566667,1.707,3036.816667,1127.04,18660608.54,19.57,13323.4401,23.67,3931.426667,522.91,79.88666667,357.7699993,243.3499963,225.700002,13700,107.16,0.041659254,57956831854626,3325,7300
"12",2021-03-20,65085307.59,1742.733333,1.7185,3038.173333,1128.08,18659633.54,20.26,13269.34017,23.64,3922.263333,518.37,79.47333333,357.1400047,242.3149977,225.269999,13700,107.16,0.050572127,56192039245172,3325,7300
