날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 12일,608.36,571.68,614.04,565.57,21.73M,5.62%
2021년 04월 09일,576,568.56,576.32,567,4.88M,0.58%
2021년 04월 08일,572.68,570.11,578.86,569.96,6.11M,1.23%
2021년 04월 07일,565.74,553.92,569.68,548.9,6.28M,2.03%
2021년 04월 06일,554.46,559.59,562.13,551,4.79M,-0.90%
2021년 04월 05일,559.5,554.3,560.51,549.41,6.39M,1.27%
2021년 04월 01일,552.47,542.89,554.8,540.45,7.71M,3.47%
2021년 03월 31일,533.93,520.35,538.72,520,7.87M,3.70%
2021년 03월 30일,514.87,512.81,519.01,508.39,5.01M,-0.59%
2021년 03월 29일,517.93,512.78,522.4,508,6.84M,0.85%
2021년 03월 26일,513.57,502.18,514.25,494.94,9.10M,2.43%
2021년 03월 25일,501.41,498.11,508.59,491.14,7.38M,-0.85%
2021년 03월 24일,505.72,524.51,525.55,505.61,6.15M,-3.27%
2021년 03월 23일,522.83,530.4,533.66,521.02,5.55M,-0.88%
2021년 03월 22일,527.45,516.65,535.72,516.65,7.45M,2.65%
2021년 03월 19일,513.83,510,516.86,504.5,7.48M,0.97%
2021년 03월 18일,508.9,525.25,527,508.75,7.35M,-4.64%
2021년 03월 17일,533.65,522,537.98,520,6.10M,0.38%
2021년 03월 16일,531.65,534.22,540.5,524.97,6.80M,0.76%
2021년 03월 15일,527.65,514.83,528.2,511.4,5.56M,2.61%
2021년 03월 12일,514.24,505.39,515.55,503.99,6.10M,-1.06%
2021년 03월 11일,519.74,517,521.78,509.73,7.50M,4.21%
2021년 03월 10일,498.73,512.97,519.02,498.57,9.61M,-0.42%
2021년 03월 09일,500.81,484.18,504.43,483.17,13.05M,8.00%
2021년 03월 08일,463.73,498.04,498.04,463.08,13.58M,-6.97%
2021년 03월 05일,498.46,502,502,467.17,13.57M,0.74%
2021년 03월 04일,494.81,512.38,518.85,483.62,14.33M,-3.39%
2021년 03월 03일,512.19,537.53,537.53,512,9.44M,-4.49%
2021년 03월 02일,536.25,556.34,556.34,536.05,6.60M,-3.15%
2021년 03월 01일,553.67,555.2,557,542.39,8.83M,0.93%
2021년 02월 26일,548.58,550.1,554.18,534.44,12.52M,3.06%
2021년 02월 25일,532.3,562.26,574,528.72,20.61M,-8.22%
2021년 02월 24일,579.96,564.91,580.27,550.24,11.21M,2.52%
2021년 02월 23일,565.68,562.25,569.52,536.05,9.79M,-1.49%
2021년 02월 22일,574.23,591.46,605.19,573,8.15M,-3.82%
2021년 02월 19일,597.06,600.98,607.08,593.87,6.79M,0.66%
2021년 02월 18일,593.16,588.86,594.75,583.1,5.85M,-0.52%
2021년 02월 17일,596.24,605.01,608,591.23,6.89M,-2.77%
2021년 02월 16일,613.21,602.5,614.76,598.21,8.05M,2.47%
2021년 02월 12일,598.45,602,611.65,591,9.37M,-1.90%
2021년 02월 11일,610.03,599.83,610.85,597.61,11.27M,3.30%
2021년 02월 10일,590.57,579.57,595.9,574.22,12.13M,3.51%
2021년 02월 09일,570.53,574,583.33,569.03,7.19M,-1.22%
2021년 02월 08일,577.55,550.07,578.95,550.07,10.87M,6.24%
2021년 02월 05일,543.64,549,549.49,541.83,4.23M,-0.54%
2021년 02월 04일,546.57,541,546.66,533.61,5.03M,0.99%
2021년 02월 03일,541.22,545.78,557.18,540.84,6.14M,-0.19%
2021년 02월 02일,542.27,535.81,542.88,531.5,5.51M,2.42%
2021년 02월 01일,529.48,522.89,530.81,516.37,5.43M,1.90%
2021년 01월 29일,519.59,523,533.39,516.46,6.79M,-0.47%
2021년 01월 28일,522.04,519.62,533.48,519.11,5.71M,1.03%
2021년 01월 27일,516.71,528.31,528.59,511.77,9.28M,-3.85%
2021년 01월 26일,537.41,542.81,545.3,535.7,4.10M,-1.60%
2021년 01월 25일,546.13,552.01,553,529.73,6.28M,-0.43%
2021년 01월 22일,548.5,549.6,553.67,545.09,6.17M,-1.12%
2021년 01월 21일,554.7,536.74,559.97,530.12,8.46M,3.75%
2021년 01월 20일,534.63,524.47,537.22,522.27,6.46M,2.61%
2021년 01월 19일,521.01,520.39,523.62,514,5.65M,1.29%
2021년 01월 15일,514.38,529.12,533.01,513.94,6.94M,-2.58%
2021년 01월 14일,528.01,543.99,543.99,527.29,7.08M,-2.45%
2021년 01월 13일,541.27,539.92,544.44,535.6,5.25M,0.35%
2021년 01월 12일,539.39,549.76,549.76,533.89,7.29M,-1.00%
2021년 01월 11일,544.86,536.75,558.36,534.51,12.98M,2.60%
2021년 01월 08일,531.07,534.5,536.84,521.68,7.31M,-0.50%
2021년 01월 07일,533.76,517.08,535.04,515.51,11.54M,5.78%
