"날짜","환율","금_가격","채권_수익률","KOSPI","BTC_가격","BTC_공급량","VIX_value","Nasdaq_종가","VKOSPI_종가","소비자물가지수"
2021-03-31,1127.17,1715.6,1.744,3061.42,65752554.6,18670146.04,19.4,13246.87012,20.44,107.16
2021-03-30,1132.59,1686,1.71,3070,64435785.91,18669164.79,19.61,13045.38965,20.64,107.16
2021-03-29,1131.56,1714.6,1.717,3036.04,62424909.91,18668252.29,20.74,13059.65039,21.01,107.16
2021-03-26,1128.52,1734.7,1.674,3041.01,57666280.74,18665321.04,18.86,13138.73047,20.36,107.16
2021-03-25,1135.12,1727.3,1.633,3008.33,58830848.03,18664471.04,19.81,12977.67969,21.69,107.16
2021-03-24,1134.9,1735.5,1.614,2996.35,61044246.8,18663508.54,21.2,12961.88965,22.71,107.16
2021-03-23,1132.9,1727.5,1.622,3004.74,60822401.81,18662558.54,20.3,13227.7002,23.19,107.16
2021-03-22,1126,1740.4,1.695,3035.46,64176658.3,18661552.29,18.88,13377.54004,23.7,107.16
2021-03-19,1129.12,1743.9,1.73,3039.53,64547706.2,18658671.04,20.95,13215.24023,23.61,107.16
2021-03-18,1127.75,1734.6,1.706,3066.01,65711048.31,18657746.04,21.58,13116.16992,22.69,107.16
2021-03-17,1121.21,1727.1,1.646,3047.5,63404476.58,18656796.04,19.23,13525.2002,24.53,107.16
2021-03-16,1129,1730.9,1.621,3067.17,62305397.2,18655946.04,19.79,13471.57031,24.28,107.16
2021-03-15,1132.35,1729.2,1.607,3045.71,66128737.4,18655014.79,20.03,13459.70996,25.9,107.16
2021-03-12,1136.5,1719.8,1.625,3054.39,64515101.33,18652214.79,20.69,13319.86035,25.64,107.16
2021-03-11,1130.35,1722.6,1.535,3013.7,62441960.11,18651277.29,21.91,13398.66992,26.45,107.16
2021-03-10,1135.91,1721.8,1.521,2958.12,61170911.21,18650452.29,22.56,13068.83008,28.85,107.16
2021-03-09,1134.91,1716.9,1.528,2976.12,58324539.25,18649521.04,24.03,13073.82031,29.78,107.16
2021-03-08,1140.83,1678,1.603,2996.11,57098473.74,18648646.04,25.47,12609.16016,29.48,107.16
2021-03-05,1128,1698.5,1.577,3026.26,54144939.41,18645814.79,24.66,12920.15039,29.09,107.16
2021-03-04,1130.87,1700.7,1.557,3043.49,56371202.46,18644883.54,28.57,12723.46973,29.5,107.16
2021-03-03,1126.05,1715.8,1.484,3082.99,54020846.97,18644083.54,26.67,12997.75,28.31,107.16
2021-03-02,1125.01,1733.6,1.398,3043.87,55355632.11,18643133.54,24.1,13358.79004,30.97,107.16
