날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 03월 31일,"13,700","14,150","14,200","13,450",74.78K,-1.44%
2021년 03월 30일,"13,900","13,300","14,200","13,100",12.45M,6.51%
2021년 03월 29일,"13,050","13,350","13,650","12,950",0.02K,-1.88%
2021년 03월 28일,"13,300","13,300","13,300","13,300",-,0.00%
2021년 03월 26일,"13,300","12,850","13,300","12,450",4.23M,1.92%
2021년 03월 25일,"13,050","13,200","13,450","12,800",2.29K,0.38%
2021년 03월 24일,"13,000","13,350","13,600","13,000",13.13K,-1.14%
2021년 03월 23일,"13,150","13,450","13,650","12,750",1.40K,-6.07%
2021년 03월 22일,"14,000","14,650","15,150","13,700",6.23K,2.19%
2021년 03월 21일,"13,700","13,700","13,700","13,700",-,0.00%
2021년 03월 19일,"13,700","12,750","15,350","12,750",31.23M,4.58%
2021년 03월 18일,"13,100","12,450","13,650","12,350",13.60K,9.17%
2021년 03월 17일,"12,000","12,300","12,400","11,900",0.00K,0.00%
2021년 03월 16일,"12,000","12,150","13,150","11,800",0.09K,-3.61%
2021년 03월 15일,"12,450","14,350","14,500","12,350",2.67K,-10.11%
2021년 03월 14일,"13,850","13,850","13,850","13,850",-,0.00%
2021년 03월 12일,"13,850","13,700","14,550","13,450",15.74M,3.36%
2021년 03월 11일,"13,400","14,300","14,850","12,950",38.10K,-1.47%
2021년 03월 10일,"13,600","13,900","14,800","12,750",0.10K,0.74%
2021년 03월 09일,"13,500","11,550","13,750","11,000",0.54K,26.76%
2021년 03월 08일,"10,650","10,400","10,900","10,300",0.12K,3.90%
2021년 03월 07일,"10,250","10,250","10,250","10,250",-,0.00%
2021년 03월 05일,"10,250","9,990","10,300","9,670",3.21M,-0.97%
2021년 03월 04일,"10,350","10,500","10,750","10,250",0.33K,0.49%
2021년 03월 03일,"10,300","10,200","10,600","10,150",11.61K,0.49%
2021년 03월 02일,"10,250","10,950","11,000","10,200",1.56K,-2.38%
2021년 03월 01일,"10,500","10,500","10,500","10,500",-,0.00%
2021년 02월 26일,"10,500","11,600","11,900","10,450",7.77M,-14.98%
2021년 02월 25일,"12,350","12,550","12,950","11,950",6.26K,0.00%
2021년 02월 24일,"12,350","11,850","13,050","11,550",7.93K,5.56%
2021년 02월 23일,"11,700","12,650","13,500","11,350",8.58K,-11.03%
2021년 02월 22일,"13,150","10,550","13,150","9,980",186.21K,29.56%
2021년 02월 21일,"10,150","10,150","10,150","10,150",-,0.00%
2021년 02월 19일,"10,150","9,650","10,400","9,190",9.00M,4.32%
2021년 02월 18일,"9,730","9,830","10,600","9,570",6.97K,2.96%
2021년 02월 17일,"9,450","9,730","9,870","9,380",6.74M,0.11%
2021년 02월 16일,"9,440","9,130","9,910","9,070",0.17K,3.51%
2021년 02월 15일,"9,120","9,400","9,540","9,110",2.90K,1.00%
2021년 02월 14일,"9,030","9,030","9,030","9,030",-,0.00%
2021년 02월 10일,"9,030","9,040","9,170","8,710",3.65M,-1.10%
2021년 02월 09일,"9,130","10,000","10,100","9,020",67.22K,6.41%
2021년 02월 08일,"8,580","8,400","8,820","8,300",0.00K,3.75%
2021년 02월 05일,"8,270","8,580","8,700","8,240",1.42M,-3.61%
2021년 02월 04일,"8,580","8,530","8,700","8,460",11.51K,0.70%
2021년 02월 03일,"8,520","8,420","8,550","8,350",11.33K,1.91%
2021년 02월 02일,"8,360","8,330","8,530","8,260",0.04K,0.84%
2021년 02월 01일,"8,290","8,080","8,480","7,910",0.40K,0.12%
2021년 01월 31일,"8,280","8,280","8,280","8,280",-,0.00%
2021년 01월 29일,"8,280","8,880","9,140","8,170",3.14M,-4.72%
2021년 01월 28일,"8,690","8,600","8,910","8,470",49.35K,-1.59%
2021년 01월 27일,"8,830","9,150","9,220","8,830",0.33K,-4.02%
2021년 01월 26일,"9,200","8,730","9,430","8,720",8.81K,4.90%
2021년 01월 25일,"8,770","9,040","9,040","8,760",4.37K,-2.77%
2021년 01월 24일,"9,020","9,020","9,020","9,020",-,0.00%
2021년 01월 22일,"9,020","9,090","9,210","8,900",3.45M,-6.04%
2021년 01월 21일,"9,600","8,810","10,300","8,710",2.49K,8.60%
2021년 01월 20일,"8,840","8,490","8,990","8,480",3.96K,3.39%
2021년 01월 19일,"8,550","8,630","8,810","8,420",3.79K,-2.84%
2021년 01월 18일,"8,800","8,270","8,950","8,060",7.21K,5.64%
2021년 01월 17일,"8,330","8,330","8,330","8,330",-,0.00%
2021년 01월 15일,"8,330","8,700","8,770","8,260",2.75M,-3.14%
2021년 01월 14일,"8,600","9,010","9,050","8,550",0.22K,-1.83%
2021년 01월 13일,"8,760","9,000","9,430","8,640",0.25K,-4.37%
2021년 01월 12일,"9,160","10,050","10,100","8,870",6.44K,-12.76%
2021년 01월 11일,"10,500","10,950","12,050","10,000",7.13K,2.44%
2021년 01월 10일,"10,250","10,250","10,250","10,250",-,0.00%
2021년 01월 08일,"10,250","11,000","11,350","9,550",44.21M,17.28%
2021년 01월 07일,"8,740","8,580","8,820","8,310",0.13K,5.17%
2021년 01월 06일,"8,310","8,070","8,460","7,940",4.96M,6.13%
2021년 01월 05일,"7,830","7,940","7,980","7,780",1.94M,-3.21%
2021년 01월 04일,"8,090","8,380","8,420","7,910",0.00K,2.80%
2020년 12월 30일,"7,870","7,940","8,250","7,840",2.60M,0.25%
2020년 12월 29일,"7,850","7,730","8,040","7,710",1.33M,0.90%
2020년 12월 28일,"7,780","8,650","8,840","7,780",9.16K,-2.38%
2020년 12월 24일,"7,970","8,030","8,240","7,830",1.41M,-2.69%
2020년 12월 23일,"8,190","8,510","8,950","8,130",2.77M,-1.44%
2020년 12월 22일,"8,310","8,880","8,930","8,260",0.00K,-6.84%
