날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 04월 16일,16.25,16.65,16.88,16.05,-,-1.93%
2021년 04월 15일,16.57,16.78,16.92,15.94,-,-2.47%
2021년 04월 14일,16.99,16.71,17.69,15.38,-,2.04%
2021년 04월 13일,16.65,16.99,17.86,16.43,-,-1.54%
2021년 04월 12일,16.91,17.43,17.91,16.81,-,1.32%
2021년 04월 09일,16.69,17.05,17.34,16.2,-,-1.53%
2021년 04월 08일,16.95,16.92,17.36,16.55,-,-1.22%
2021년 04월 07일,17.16,17.99,18.17,16.87,-,-5.30%
2021년 04월 06일,18.12,18.07,18.3,17.37,-,1.17%
2021년 04월 05일,17.91,18.16,18.4,17.35,-,3.35%
2021년 04월 02일,17.33,17.33,17.33,17.33,-,0.00%
2021년 04월 01일,17.33,18.6,18.64,17.29,-,-10.67%
2021년 03월 31일,19.4,19.8,20.11,18.85,-,-1.07%
2021년 03월 30일,19.61,20.76,21.75,19.47,-,-5.45%
2021년 03월 29일,20.74,20.4,21.6,19.42,-,9.97%
2021년 03월 26일,18.86,19.32,21.49,18.68,-,-4.80%
2021년 03월 25일,19.81,20.8,23.55,19.81,-,-6.56%
2021년 03월 24일,21.2,20.64,21.49,19.3,-,4.43%
2021년 03월 23일,20.3,19.46,21.58,18.8,-,7.52%
2021년 03월 22일,18.88,21.91,22.29,18.87,-,-9.88%
2021년 03월 19일,20.95,21.43,23.17,19.9,-,-2.92%
2021년 03월 18일,21.58,18.95,22.6,18.95,-,12.22%
2021년 03월 17일,19.23,20.1,20.95,19.18,-,-2.83%
2021년 03월 16일,19.79,20.14,20.31,19.33,-,-1.20%
2021년 03월 15일,20.03,21.84,21.86,19.87,-,-3.19%
2021년 03월 12일,20.69,22.57,22.99,20.63,-,-5.57%
2021년 03월 11일,21.91,22.5,22.5,21.45,-,-2.88%
2021년 03월 10일,22.56,23.76,23.87,22.38,-,-6.12%
2021년 03월 09일,24.03,25.11,25.25,22.9,-,-5.65%
2021년 03월 08일,25.47,27.61,28.39,24.07,-,3.28%
2021년 03월 05일,24.66,29.48,30.03,24.33,-,-13.69%
2021년 03월 04일,28.57,26.52,31.9,24.93,-,7.12%
2021년 03월 03일,26.67,22.8,26.79,22.45,-,10.66%
2021년 03월 02일,24.1,23.58,24.6,22.8,-,3.21%
2021년 03월 01일,23.35,25.2,25.39,23.17,-,-16.46%
2021년 02월 26일,27.95,28.73,30.82,25.23,-,-3.25%
2021년 02월 25일,28.89,21.73,31.16,21.52,-,35.38%
2021년 02월 24일,21.34,23.76,25.04,21.31,-,-7.66%
2021년 02월 23일,23.11,22.82,27.01,22.5,-,-1.45%
2021년 02월 22일,23.45,24.46,25.09,21.96,-,6.35%
2021년 02월 19일,22.05,23.1,23.19,20.84,-,-1.96%
2021년 02월 18일,22.49,21.98,24.23,21.8,-,4.60%
2021년 02월 17일,21.5,22.02,23.44,21.09,-,0.19%
2021년 02월 16일,21.46,21.13,22.46,20.88,-,7.46%
2021년 02월 12일,19.97,21.6,22.45,19.95,-,-6.02%
2021년 02월 11일,21.25,22.09,23.25,21.11,-,-3.37%
